samples,r.squared,distinct,points,removed,final,remaining
RC2_0034_ICR-1_p08,0.907703283935554,622,630,63,567,0.9
RC2_0034_ICR-2_p08,0.920725014711731,636,658,83,575,0.873860182370821
RC2_0034_ICR-3_p08,0.926601886515154,679,698,79,619,0.886819484240688
RC2_0035_ICR-1_p08,0.925161591942831,667,695,83,612,0.880575539568345
RC2_0035_ICR-2_p08,0.922969205623265,670,688,79,609,0.885174418604651
RC2_0035_ICR-3_p08,0.92266196615019,675,695,77,618,0.889208633093525
RC2_0036_ICR-1_p08,0.92095296548919,662,687,85,602,0.87627365356623
RC2_0036_ICR-2_p08,0.924202493302504,646,671,98,573,0.853949329359165
RC2_0036_ICR-3_p08,0.903714208742409,600,607,71,536,0.883031301482702
RC2_0037_ICR-1_p08,0.925476419894094,713,734,89,645,0.87874659400545
RC2_0037_ICR-2_p08,0.933852727894873,733,753,86,667,0.885790172642762
RC2_0037_ICR-3_p08,0.930814106735582,728,747,83,664,0.888888888888889
RC2_0038_ICR-1_p08,0.927428229733016,694,715,89,626,0.875524475524476
RC2_0038_ICR-2_p08,0.924401272933689,654,662,70,592,0.894259818731118
RC2_0038_ICR-3_p08,0.93494024683514,735,747,75,672,0.899598393574297
RC2_0039_ICR-1_p08,0.923004782116583,689,709,91,618,0.871650211565585
RC2_0039_ICR-2_p08,0.918585839521761,666,672,74,598,0.889880952380952
RC2_0039_ICR-3_p08,0.928415396680379,705,735,102,633,0.861224489795918
RC2_0040_ICR-1_p08,0.918294353494111,646,664,73,591,0.890060240963855
RC2_0040_ICR-2_p08,0.902776666852279,640,650,73,577,0.887692307692308
RC2_0040_ICR-3_p08,0.928951414612094,703,736,90,646,0.877717391304348
RC2_0041_ICR-1_p08,0.920652850476954,663,690,85,605,0.876811594202899
RC2_0041_ICR-2_p08,0.925271478202189,661,690,98,592,0.857971014492754
RC2_0041_ICR-3_p08,0.891161841660195,581,586,68,518,0.883959044368601
RC2_0042_ICR-1_p08,0.902286348785627,592,602,72,530,0.880398671096346
RC2_0042_ICR-2_p08,0.919836963988626,639,670,94,576,0.859701492537313
RC2_0042_ICR-3_p08,0.898122898237389,590,605,87,518,0.856198347107438
RC2_0043_ICR-1_p08,0.879410751406534,614,618,77,541,0.875404530744337
RC2_0043_ICR-2_p08,0.837511652318331,602,607,77,530,0.873146622734761
RC2_0043_ICR-3_p08,0.795598396815209,496,499,49,450,0.901803607214429
RC2_0044_ICR-1_p08,0.900880484737385,650,656,77,579,0.882621951219512
RC2_0044_ICR-2_p08,0.802280112686965,552,555,59,496,0.893693693693694
RC2_0044_ICR-3_p08,0.88677309922661,694,695,89,606,0.871942446043166
RC2_0045_ICR-1_p08,0.894822263675984,697,708,94,614,0.867231638418079
RC2_0045_ICR-2_p08,0.91774870154421,718,737,89,648,0.879240162822252
RC2_0045_ICR-3_p08,0.901711020663306,678,690,83,607,0.879710144927536
RC2_0046_ICR-1_p08,0.891525936026148,662,673,95,578,0.858841010401189
RC2_0046_ICR-2_p08,0.863771526712744,667,674,96,578,0.857566765578635
