sample,Site,Date,Watershed,WsAreaSqKm,tt_hr,streamorde,COMID,q_daily_cms,q_daily_mm,Twat_degC,DOC_mgL
RC2_0090,T07,2021-08-12,Yakima,14144.7249,223.7164518,7,78018963,18.52128,1.309412528765406e-6,24.53,1.63
RC2_0091,T06,2021-08-18,Yakima,206.2035,23.51807147,3,78017752,1.580256,7.663575060559109e-6,14.37,0.39
RC2_0092,T05P,2021-08-18,Yakima,383.8644,63.74782078,4,78018214,20.16384,5.252854914391645e-5,17.33,0.84
RC2_0093,T42,2021-08-18,Yakima,2465.9001,33.46982545,6,78017687,1.348032,5.466693480404985e-7,16.37,1.06
RC2_0094,T03,2021-08-18,Yakima,8977.0689,110.9783128,7,78018211,98.8368,1.1009918838876239e-5,18.3,1.25
RC2_0095,T02,2021-08-18,Yakima,13461.462,180.4772796,7,78018972,43.0464,3.1977507346527443e-6,21.23,1.81
RC2_0096,T07,2021-08-18,Yakima,14144.7249,209.9560991,7,78018963,31.4352,2.22239741120734e-6,21.83,1.81
RC2_0097,T07,2021-09-07,Yakima,14144.7249,201.710009,7,78018963,43.896,3.1033477363706103e-6,19.9,1.79
RC2_0098,T02,2021-09-07,Yakima,13461.462,181.0557663,7,78018972,41.9136,3.1135993995303042e-6,20.6,1.76
RC2_0099,T03,2021-09-08,Yakima,8977.0689,114.1479403,7,78018211,78.1632,8.706984525873473e-6,16.8,1.42
RC2_0100,T42,2021-09-08,Yakima,2465.9001,34.07471397,6,78017687,1.16112,4.7087065692563944e-7,19.07,1
RC2_0101,T06,2021-09-16,Yakima,206.2035,24.47657295,3,78017752,1.1328,5.493602193949182e-6,9.43,0.44
RC2_0103,T42,2021-09-16,Yakima,2465.9001,34.17583095,6,78017687,1.1328,4.5938600675672145e-7,16.6,1
RC2_0104,T03,2021-09-16,Yakima,8977.0689,115.5668425,7,78018211,70.5168,7.855214300516286e-6,15,1.38
RC2_0105,T02,2021-09-16,Yakima,13461.462,175.9319939,7,78018972,53.2416,3.95511275075471e-6,17.7,1.74
RC2_0106,T07,2021-09-16,Yakima,14144.7249,194.4916395,7,78018963,59.472,4.204535642824698e-6,17.9,1.93
RC2_0107,T06,2021-09-23,Yakima,206.2035,24.21145651,3,78017752,1.240416,6.015494402374353e-6,8.97,0.45
RC2_0108,T05P,2021-09-23,Yakima,383.8644,62.549381,4,78018214,23.61888,6.152922750846393e-5,11.23,0.84
RC2_0109,T42,2021-09-23,Yakima,2465.9001,33.97632224,6,78017687,1.18944,4.823553070945576e-7,15.03,0.99
RC2_0110,T03,2021-09-23,Yakima,8977.0689,117.6209151,7,78018211,60.888,6.782614757473901e-6,14.4,1.5
RC2_0111,T02,2021-09-23,Yakima,13461.462,179.9155972,7,78018972,44.1792,3.281902069775185e-6,15.93,1.63
RC2_0112,T07,2021-09-23,Yakima,14144.7249,202.1836451,7,78018963,43.0464,3.0432829414731145e-6,15.9,1.66
RC2_0113,T06,2021-09-30,Yakima,206.2035,24.04449455,3,78017752,1.314048,6.372578544981051e-6,9.07,0.8
RC2_0114,T05P,2021-09-30,Yakima,383.8644,63.99950804,4,78018214,19.51248,5.0831699944042743e-5,10.77,1
RC2_0115,T42,2021-09-30,Yakima,2465.9001,33.74139861,6,78017687,1.26024,5.110669325168526e-7,14.2,1.23
RC2_0116,T03,2021-09-30,Yakima,8977.0689,119.9176305,7,78018211,51.8256,5.773109305198716e-6,13.53,1.64
RC2_0117,T02,2021-09-30,Yakima,13461.462,178.1957583,7,78018972,47.8608,3.555393908923117e-6,15.03,1.87
RC2_0118,T07,2021-09-30,Yakima,14144.7249,201.5544081,7,78018963,44.1792,3.123369334669775e-6,15.5,1.98
