Name,Mass,WROL2019_084,WROL2019_078
C23H38O17N7P3S1,809.125784,0,0
C23H43O13N5,597.28574,0,0
C24H27N4O14P1,626.126144,0,0
C24H32O6,416.21989,0,4
C24H38O3,374.282095,0,0
C24H38O4,390.27701,0,0
C24H40O17N7P3S1,823.141434,0,0
C24H40O2,360.30283,0,0
C24H40O20,648.2113,0,0
C24H44O1,348.339215,0,0
C24H46O1,350.354865,0,0
C25H32N2O6,456.226038,0,0
C25H34O1,350.260965,0,0
C25H38N2O5S1,478.250145,0,0
C25H40,340.313,0,2
C25H41O16N8P3S1,834.157418,0,0
C27H18O6,438.11034,0,0
C27H20N2O12,564.101628,0,0
C27H24O17,620.101355,0,0
C27H27O10N1,525.163499,0,0
C27H36O_1,344.286785,0,0
C27H40O17N7P3S1,859.141434,0,0
C27H40O2,396.30283,1,0
C27H44,368.3443,0,0
C27H44O1,384.339215,0,0
C27H44O3,416.329045,0,0
C27H44O4,432.32396,0,0
C28H30O4N4,486.226706,0,0
C28H38N5O13P1,683.220378,0,0
C28H39O13S_2N6P1,634.287133,0,0
C28H41N5O22P2,861.171851,0,0
C28H51N1O9,545.356384,0,0
C29H31O10N1,553.194799,0,0
C29H31O9N1,537.199884,0,0
C29H34N5O17P1,755.168738,0,0
C29H49O17N3P2,773.253728,0,0
C2H_1O_1N1S1,52.972406,3,3
C2H_2,21.98435,163,270
C2H_2O,37.979265,199,322
C2H_2O_1,5.989435,142,227
C2H_2O2,53.97418207,163,286
C2H_6O7,129.917455,35,87
C2H1N1O2,71.000729,36,47
C2H1O1Cl1,75.9716,45,59
C2H2,26.01565,253,375
C2H2N7O14P3S1,472.859339,0,0
C2H2O_1,10.020735,216,337
C2H2O2,58.00548,214,308
C2H2O2S_1,26.033408,28,41
C2H2O3,74.00038763,183,261
C2H2O4,89.99529435,121,181
C2H2O4S1,121.967382,3,6
C2H3Cl_1O2S1,56.0165,21,40
C2H3N,41.026549,41,38
C2H3N_1O2,45.010231,13,17
C2H3N_1O3S2,124.94929,0,0
C2H3N1O_2,9.036719,18,26
C2H3N1O2,73.016379,32,39
C2H3NO_1,25.031634,31,40
C2H3O,43.01839,1,1
C2H4N2,56.037448,4,2
C2H4O_1,12.036385,222,356
C2H4O1,44.026215,236,362
C2H4O2,60.02112938,207,305
C2H4O2S2,123.965274,1,5
C2H4O3,76.01604496,141,227
C2H4O3S2,139.960189,0,2
C2H4O4,92.01093823,91,159
C2H5N,43.042199,1,1
C2H5N1,43.0422,26,36
C2H5N1O_1S1,59.019356,10,9
C2H5N1O1,59.037114,33,44
C2H5N1O2,75.032029,33,40
C2H5O_1N1,27.047284,27,36
C2H5O1,45.03404,0,0
C2H5O2N1S1,107.004101,3,3
C2H5O4P1,123.992548,6,9
C2H6N1O2P1,107.013617,5,1
C2H6N1O3P1,123.008532,1,0
C2H6O_1,14.052035,215,334
C2H6O1,46.041865,218,332
C2H6O2,62.03676548,158,254
C2H6O3,78.03168735,131,207
C2H6O3S2,141.975839,1,0
C2H6O4,94.02660273,80,144
C2H6S1,62.019022,19,28
C2H7N1,45.057849,32,41
C2H7N1O_1,29.062934,28,35
C2H7O10P3,283.925214,0,0
C2H7O1N1,61.052764,37,47
C2H7O2N1S1,109.019751,6,5
C2H8,32.0626,175,267
C2H8O,48.057515,145,225
C2H8O_1,16.067685,176,284
C2H8O4N1P1,141.019097,2,0
C2HN_1O,26.999666,31,33
C2HO,41.00274,0,0
C2O_1,8.005085,181,284
C2O1,39.994915,229,367
C2O2H6N2,90.042928,8,8
C2O3,71.984745,161,264
C2O7,135.964405,25,62
C3,36,152,234
C30H32N2O13,628.190443,0,0
C30H40,400.313,0,0
C30H43N6O15P1,758.252407,0,0
C30H44O3,452.329045,0,0
C30H48,408.3756,0,0
C30H48O18N7P3S1,919.198949,0,0
C30H50O25,810.264125,0,0
C31H52N7O17P1,825.315736,0,0
C32H52N7O19P1,869.305566,0,0
C32H60O2,476.45933,0,0
C34H32O4N4,560.242356,0,0
C34H42O14N4,730.269756,0,0
C34H53N7O23P2,989.266814,0,0
C34H63N1O8,613.455369,0,0
C34H64N1O11P1,693.421702,0,0
C35H30O5M1g1N4,610.2067,0,0
C35H32O4M1g1N4,596.2274,0,0
C35H46O_1,450.365035,0,0
C35H53N7O25P2,1033.256644,0,0
C35H56,476.4382,0,0
C36H60O30,972.31695,0,0
C37H58N8O24P2,1060.303928,0,0
C38H58N8O26P2,1104.293758,0,0
C39H42O11N4,742.285011,0,0
C39H60O10,688.41865,0,0
C39H60O11,704.413565,0,0
C3H_1N1O_2,17.005419,9,16
C3H10N1,60.081324,0,1
C3H10N2O_1,58.089483,0,7
C3H13N7O_6,51.153753,1,1
C3H13O11P3S1,349.939151,0,1
C3H1N1O_1,35.015984,17,29
C3H1N2O3P1,143.972481,1,1
C3H1N3O2,111.006877,0,2
C3H2,38.01565,210,304
C3H2N2O_1,50.026883,6,8
C3H2N2O6P2,223.938814,0,6
C3H2N7O11P3S1,436.874594,0,0
C3H2O_1,22.020735,160,266
C3H2O_2,6.02582,122,206
C3H2O1,54.010565,209,312
C3H2O2,70.00548,178,269
C3H2O5,117.990225,87,143
C3H3N,53.02658088,32,35
C3H3N_1O4,89.000061,14,25
C3H3N1O_1,37.0316176,15,29
C3H3N1O1,69.02145213,27,36
C3H3N1O2,85.016379,32,37
C3H3O1,55.01839,0,0
C3H3O2,71.013305,1,0
C3H3O3N1,101.011294,20,29
C3H4,40.0313,216,321
C3H4N2O_1,52.042533,6,4
C3H4N2O3,116.022193,2,3
C3H4O_1,24.036385,189,277
C3H4O_2,8.04147,132,225
C3H4O1,56.026215,224,322
C3H4O2,72.02113089,200,287
C3H4O3,88.016045,155,231
C3H4O4,104.01096,126,192
C3H5N1O_1,39.047284,27,35
C3H5N1O2S1,119.004101,1,1
C3H5O5P1,151.987463,3,5
C3H6,42.04695,223,351
C3H6N1O2,88.039854,1,4
C3H6N1O4P1,151.003447,3,0
C3H6O_1,26.052035,201,294
C3H6O1,58.04186423,217,330
C3H6O2,74.03678,186,257
C3H6O3,90.031695,153,243
C3H6O4,106.0266395,64,123
C3H6O5S1,153.993597,1,3
C3H6O6P2,199.963966,0,0
C3H7,43.054775,1,0
C3H7N1,57.05784048,26,38
C3H7N1O_1,41.062934,20,32
C3H7N1O1S1,105.024836,8,7
C3H7N1O2,89.047679,32,38
C3H7N1O2S1,121.019751,4,3
C3H7O1N1,73.05276133,29,37
C3H7O5P1,154.003113,6,4
C3H7O6P1,169.998028,3,5
C3H8,44.0626,178,269
C3H8N1,58.065674,0,1
C3H8N1O3P1,137.024182,6,2
C3H8N3O3P1,165.03033,0,0
C3H8O1,60.05748915,165,257
C3H8O1N2S1,120.035735,0,1
C3H8O1N2S2,152.007807,0,2
C3H8O3,92.04736695,94,142
C3H8O4,108.0422932,56,110
C3O,51.99492709,170,286
C3O_1,20.005085,130,244
C3O2,67.9898428,162,276
C3O3,83.98473983,167,272
C4,48,107,186
C40H64,544.5008,0,0
C41H60N12O10,880.455538,0,0
C43H50O15N4,862.327271,0,0
C43H71O5P1,698.503913,0,0
C43H87O5P1,714.629113,0,0
C44H48O15o1N4,919.2448,0,0
C44H49O15o1N4,920.2527,0,0
C44H72O_2,568.57357,0,0
C45H72,612.5634,0,0
C45H72O16,868.48204,0,0
C46H63N10O7o1,914.4213,0,0
C46H77N_2O_8P_1,442.663294,0,0
C46H78N_2O_5,522.629627,0,0
C4H10N2O_1,70.089483,0,5
C4H10O,74.0731841,119,201
C4H10O1N2S1,134.051385,0,0
C4H10O5P1,169.026588,0,1
C4H11N1O2,105.078979,16,21
C4H11O2Cl2N2P1,219.9935,1,3
C4H12N2O_1,72.105133,1,5
C4H12O_1,44.098985,137,209
C4H2,50.01565,136,214
C4H2N7O13P3S1,480.864424,0,0
C4H2O,66.01058497,134,215
C4H2O_1,34.020735,105,174
C4H2O1N2,94.016713,7,3
C4H2O2,82.00548,152,240
C4H2O3,98.000395,148,252
C4H2O4,113.99531,119,199
C4H3F1N2O1,114.0229412,0,0
C4H3N1,65.026549,28,31
C4H3N3,93.032697,0,0
C4H3N3O2,125.022527,0,0
C4H3O_1N2,63.034708,0,0
C4H3O2N1,97.016379,25,35
C4H4,52.03130009,136,235
C4H4N1P_1,35.060611,1,3
C4H4N2O1,96.032363,8,5
C4H4N2O2,112.027278,5,4
C4H4O_1,36.036385,138,226
C4H4O1,68.026215,165,259
C4H4O3,100.016045,125,202
C4H4O4,116.01096,115,198
C4H4O4S_1,84.038888,30,38
C4H4O5,132.005875,78,145
C4H5N1,67.042199,16,25
C4H5N1O_1,51.047284,15,24
C4H5N1O2,99.032029,29,38
C4H6,54.04694667,195,303
C4H6N1O_2P_1,5.086431,1,3
C4H6N1O2S_1,68.067782,1,0
C4H6N7O14P3S1,500.890639,0,0
C4H6O_1,38.052035,142,226
C4H6O1,70.04186742,179,285
