Sample,CHONS,CHONP,CHON,CHO,CHOS,CHOP,CHONSP,CHOSP
RC2_0126,106,423,489,2001,192,1090,106,127
RC2_0127,117,306,671,2339,367,1019,203,175
RC2_0128,115,275,772,2041,427,995,168,146
RC2_0129,106,287,847,1969,353,873,190,171
RC2_0130,125,247,869,2079,438,924,193,143
RC2_0131,113,476,507,1862,239,1066,133,158
RC2_0132,104,247,532,2105,283,957,163,147
RC2_0133,96,217,517,2028,248,933,141,135
RC2_0134,80,290,780,2006,388,861,171,136
RC2_0135,127,330,879,2036,449,1059,196,159
RC2_0136,135,253,836,2190,463,975,215,169
RC2_0137,73,332,512,2276,258,1088,143,146
RC2_0138,112,208,486,2510,382,957,230,188
RC2_0139,75,224,535,2354,333,1089,180,155
RC2_0140,114,254,744,2082,498,907,178,178
RC2_0141,124,263,873,2214,518,922,208,173
RC2_0142,89,290,832,2148,415,917,183,155
RC2_0143,87,188,467,2342,335,1059,178,156
RC2_0144,122,205,490,2472,392,1155,224,170
RC2_0145,101,213,497,2362,396,1133,190,178
RC2_0146,83,280,691,2156,445,982,157,141
RC2_0147,82,349,787,2207,401,942,196,145
RC2_0148,99,229,785,2172,431,862,195,186
RC2_0149,90,328,541,2525,397,1161,207,157
RC2_0150,99,211,434,2511,364,1019,236,178
RC2_0151,123,453,617,2737,373,1219,258,236
RC2_0152,75,249,580,2487,375,1014,217,131
RC2_0153,55,232,547,2441,355,921,185,95
RC2_0154,66,381,601,2562,364,1071,209,150
RC2_0155,98,308,499,2323,319,1094,169,123
RC2_0156,109,255,484,2660,447,1069,301,174
RC2_0157,77,209,467,2482,346,1020,200,142
RC2_0158,86,208,533,2478,400,1016,211,141
RC2_0159,87,220,629,2417,380,956,228,138
RC2_0160,83,250,590,2384,437,1166,217,151
RC2_0163,77,188,391,2427,338,998,177,118
RC2_0164,63,227,460,2208,278,944,144,121
RC2_0165,60,286,613,2359,384,1046,186,152
RC2_0166,66,303,548,2109,290,935,159,142
RC2_0167,98,482,690,2206,333,1041,153,176
RC2_0177,75,342,657,2341,295,1024,163,135
RC2_0178,82,291,693,2209,361,917,164,104
RC2_0179,70,197,513,2302,334,955,152,98
RC2_0183,65,216,549,2078,300,920,146,106
RC2_0184,69,258,625,2294,364,1000,194,144
RC2_0187,82,300,517,2523,395,1149,225,155
RC2_0188,71,266,706,2255,399,1012,183,163
RC2_0189,96,256,703,2383,431,937,206,115
RC2_0190,83,247,671,2248,386,940,168,138
RC2_0191,84,282,690,2270,386,936,182,148
